ID,#日本語(原文),#やさしい日本語,#英語(原文),
1,誰が一番に着くか私には分かりません。,誰が一番に着くか私には分かりません。,i can 't tell who will arrive first .,
2,多くの動物が人間によって滅ぼされた。,多くの動物が人間によって殺された。,many animals have been destroyed by men .,
3,私はテニス部員です。,私はテニス部員です。,i 'm in the tennis club .,
4,エミは幸せそうに見えます。,エミは幸せそうに見えます。,emi looks happy .,
5,この事実を心に留めておいて下さい。,この事実を覚えておいてください。,please bear this fact in mind .,
6,彼女は私たちの世話をしてくれる。,彼女は私たちの世話をしてくれる。,she takes care of my children .,
7,私達は国際人になりたいと思います。,私たちは国際人になりたいと思います。,we want to be international .,
8,約束を破るべきではありません。,約束を破るべきではありません。,you ought not to break your promise .,
9,道路を横切るときは車に注意しなさい。,道路を渡る時は車に注意しなさい。,"when you cross the street , watch out for cars .",
10,私には生き甲斐がない。,私には生きる上での価値がない。,i have nothing to live for .,
11,父は私が外国へ行くことを承知した。,父は私が外国へ行くことを許した。,my father consented to my going abroad .,
12,お弁当食べたんでしょう。,お弁当食べたんでしょう。,"you have eaten lunch , haven 't you ?",
13,彼の小説は１つも読んでいない。,彼の小説は１つも読んでいない。,i haven 't read any of his novels .,
14,彼はどこへ行ったらいいか分からなかった。,彼はどこへ行ったらいいか分からなかった。,he did not know where to go .,
15,彼女は、母親に少し似ている。,彼女は、母に少し似ている。,she is a bit like her mother .,
16,卑屈な奴。,自分のことをダメだと考える人。,don 't be a dog .,
17,曇りの日です。,曇りの日です。,it 's a cloudy day .,
18,彼もそれを見た。,彼もそれを見た。,he saw it also .,
19,私は音楽が好きではありません。,私は音楽が好きではありません。,i do not like music .,
20,それは本当のはずはない。,それは本当のはずはない。,it cannot be true .,
21,その仕事を引き受けようかと思っている。,その仕事を担当しようかと思っている。,i have half a mind to undertake the work .,
22,サッカーは日本で以前よりも今人気がある。,サッカーは日本で前よりも今、人気がある。,soccer is more popular in japan than it used to be .,
23,車がそんなに混んでなければ問題ないでしょう。,車がそんなに混んでなければ問題ないでしょう。,we shouldn 't have any trouble if the traffic isn 't too heavy .,
24,２時間も待たされた。,２時間も待った。,i was kept waiting for as long as two hours .,
25,ボブは私の友達です。,ボブは私の友達です。,bob is my friend .,
26,気にしないようにしているんだ。,気にしないようにしているんだ。,i just brush it off .,
27,どうぞ午後に私の家へ来てください。,どうぞ午後に私の家へ来てください。,please come to my house in the afternoon .,
28,車でどれくらいかかりますか。,車でどれくらいかかりますか。,how long does it take by car ?,
29,私は彼女が子供のころから知っています。,私は彼女が子供の頃から知っています。,i have known her since she was a child .,
30,申告する物は何もありません。,言っておく物は何もありません。,i have nothing to declare .,
31,もう夕食は済みましたか。,もう夕食は食べ終わりましたか。,have you eaten dinner yet ?,
32,あなたの国では雪がたくさん降りますか。,あなたの国では雪がたくさん降りますか。,do you have much snow in your country ?,
33,彼はいつも父親の陰口を言います。,彼はいつも父のいないところで悪いことを言います。,he always speaks ill of his father behind his back .,
34,それについてどう思った。,それについてどう思った。,how did you see that ?,
35,的を外してしまった。,対象に当たらなかった。,i 've missed my aim .,
36,いい年してそんな馬鹿なまねよせ。,いい年してそんな馬鹿なことはやめろ。,at your age you should know better .,
37,彼女は大変忙しかった。,彼女は大変忙しかった。,she was very busy .,
38,彼は危険をものともしない。,彼は危険をものともしない。,he never shrinks from danger .,
39,何時でしょうか。,何時でしょうか。,what time is it ?,
40,彼女はもう少しで遅刻するところだった。,彼女はもう少しで遅れるところだった。,she was almost late for school .,
41,とても好きです。,とても好きです。,i like it very much .,
42,今のをもう一度言っていただける。,今のをもう１度言っていただける。,can you repeat what you said ?,
43,行きたい学校に入れてよかったね。,行きたい学校に入れてよかったね。,congratulations on being accepted to the school you 've always wanted to go to .,
44,電話を切らずにそのまま待ってください。,電話を切らずにそのまま待ってください。,please hold on a moment .,
45,彼女は時々酒を飲む。,彼女は時々お酒を飲む。,she drinks a little wine at times .,
46,彼らはまともに私の顔を見られなかった。,彼らはちゃんと私の顔を見られなかった。,they dared not look me in the face .,
47,彼の話は奇妙に聞こえる。,彼の話はおかしく聞こえる。,his story seems to be strange .,
48,彼女は自分の車を自慢している。,彼女は自分の車を自慢している。,she boasts of her car .,
49,それは、おまえの声をよく聞くためだよ。,それは、あなたの声をよく聞くためだよ。,it is in order to hear your voice well .,
50,クラスの男の子の数は３０人です。,クラスの少年の数は３０人です。,the number of boys in our class is thirty .,
51,あすは歴史の試験を受けなくてはならない。,明日は歴史の試験を受けなくてはならない。,i have to take an examination in history tomorrow .,
52,私の計画に反対ですか。,私の計画に反対ですか。,are you against my plan ?,
53,一年分のおこづかいを先に渡しておく。,１年分の自由に使えるお金を先にあげておく。,i 'm going to give you a year 's worth of allowance all at once .,
54,子供たちを学校に連れて行った。,子供たちを学校に連れて行った。,i took the children to school .,
55,恐れるな。,怖がるな。,don 't be afraid .,
56,父は今家にいるだろう。,父は今家にいるだろう。,my father may be at home now .,
57,彼は以前は羽振りがよかった。,彼は前は思いのままにお金を使った。,he has seen better days .,
58,私たちはロンドンで知り合った。,私たちはロンドンでお互いを知った。,we got to know each other in london .,
59,ここでは自由に振る舞っていいですよ。,ここでは自由にしていいですよ。,you may be free to do what you like .,
60,これらの靴は私の物だ。,これらの靴は私の物だ。,these shoes are mine .,
61,向こうに着いたら手紙を下さい。,向こうに着いたら手紙をください。,drop me a line when you get there .,
62,一週間の休みをとった。,１週間の休みをとった。,he took a week off .,
63,私は釣りに行くつもりだったのですが。,私は釣りに行くつもりだったのですが。,i intended to have gone fishing .,
64,彼女は、ひとこともわからなかった。,彼女は、少しの言葉もわからなかった。,she failed to understand a single word .,
